Sender,Receiver,Timestamp,Contents
10,12,2023/3/21,Business(Confidential)
8,30,2023/1/14,Business
20,40,2023/2/6,Business(Confidential)
30,40,2023/1/18,Business(Confidential)
31,40,2023/3/4,Business(Confidential)
30,20,2023/3/9,Business
44,11,2023/4/17,Business
20,30,2023/2/20,Business
10,40,2023/2/16,Business
20,43,2023/3/16,Business
40,30,2023/2/13,Business(Confidential)
20,40,2023/3/20,Business(Confidential)
10,40,2023/4/6,Others
10,45,2023/1/10,Others
30,40,2023/3/12,Business
20,27,2023/1/12,Business
39,30,2023/4/6,Business
20,10,2023/1/23,Others(Confidential)
20,10,2023/2/2,Business
30,40,2023/4/7,Business(Confidential)
30,20,2023/1/9,Business
10,30,2023/1/23,Others
40,30,2023/3/27,Business
10,30,2023/4/5,Business
20,30,2023/3/30,Others(Confidential)
20,30,2023/3/23,Business(Confidential)
30,40,2023/3/14,Others
20,10,2023/1/11,Others
10,30,2023/1/8,Business
25,30,2023/2/17,Others
10,20,2023/1/3,Business
30,10,2023/1/8,Others
46,30,2023/4/20,Others
20,30,2023/4/18,Others
20,40,2023/4/19,Business
20,10,2023/1/9,Business
40,10,2023/4/12,Business
40,60,2023/2/6,Business
10,30,2023/2/3,Business
40,5,2023/2/7,Business
10,30,2023/3/29,Business
10,40,2023/1/31,Business(Confidential)
27,40,2023/1/7,Business
10,20,2023/3/29,Business
2,10,2023/2/6,Business
10,20,2023/2/28,Others
30,40,2023/2/16,Business
10,40,2023/3/2,Business
30,41,2023/4/2,Business(Confidential)
40,10,2023/4/2,Others(Confidential)
10,30,2023/4/30,Business
40,20,2023/3/29,Business
30,8,2023/1/8,Business
30,38,2023/2/11,Others
20,30,2023/2/27,Business(Confidential)
17,30,2023/2/8,Others
20,40,2023/1/4,Business
20,30,2023/3/3,Business
40,20,2023/4/6,Others
10,58,2023/2/22,Business
40,20,2023/4/23,Business
40,30,2023/1/26,Business
30,10,2023/1/24,Business
10,20,2023/2/12,Business
30,24,2023/2/4,Business(Confidential)
10,20,2023/1/17,Business
30,16,2023/3/28,Business
10,40,2023/3/1,Business
40,58,2023/3/30,Business
5,20,2023/3/16,Business
10,20,2023/4/17,Business
44,10,2023/1/17,Others
10,30,2023/3/17,Business
11,20,2023/3/8,Business
30,40,2023/2/6,Business(Confidential)
9,30,2023/3/7,Others
20,18,2023/3/22,Business
30,40,2023/3/5,Others
30,20,2023/3/18,Business
20,40,2023/2/9,Business
30,42,2023/2/15,Others
30,10,2023/2/26,Business(Confidential)
26,20,2023/2/23,Business
18,40,2023/4/8,Business
58,10,2023/1/9,Others
8,21,2023/2/14,Others
40,23,2023/4/4,Business(Confidential)
31,10,2023/4/2,Business
24,1,2023/2/23,Business
10,40,2023/2/6,Business
54,5,2023/4/23,Business
10,40,2023/4/1,Others(Confidential)
30,10,2023/4/10,Others(Confidential)
40,10,2023/1/12,Business(Confidential)
30,40,2023/3/9,Business
10,30,2023/4/20,Business
30,20,2023/4/7,Business
30,47,2023/4/17,Business
20,21,2023/3/17,Others
30,20,2023/4/8,Business
4,20,2023/2/1,Business(Confidential)
10,20,2023/2/12,Business(Confidential)
33,17,2023/3/1,Business
20,40,2023/2/13,Business(Confidential)
40,30,2023/2/28,Others
30,6,2023/2/18,Others(Confidential)
40,20,2023/1/2,Business(Confidential)
40,20,2023/4/14,Business(Confidential)
20,24,2023/4/12,Others(Confidential)
40,56,2023/2/6,Others(Confidential)
30,20,2023/1/17,Business
15,30,2023/2/3,Others(Confidential)
30,3,2023/3/11,Business
20,7,2023/4/6,Others
30,54,2023/2/8,Business(Confidential)
40,20,2023/1/13,Business
10,57,2023/3/13,Business
22,20,2023/1/30,Business
20,33,2023/2/8,Others
10,5,2023/3/19,Others(Confidential)
14,20,2023/1/6,Business
10,30,2023/4/17,Others
30,1,2023/4/11,Business
23,23,2023/1/22,Others
40,30,2023/1/7,Business
30,16,2023/3/6,Business
9,10,2023/1/14,Others
10,26,2023/4/12,Business
30,40,2023/1/8,Business
40,20,2023/4/3,Business(Confidential)
20,40,2023/1/12,Business
40,1,2023/4/16,Business
30,10,2023/3/21,Business
30,20,2023/3/24,Business
20,40,2023/4/21,Business(Confidential)
30,10,2023/3/8,Business
44,40,2023/3/10,Business
30,10,2023/3/7,Business(Confidential)
20,28,2023/4/14,Others
10,27,2023/3/23,Business
10,40,2023/3/21,Others
10,40,2023/3/7,Business
40,30,2023/3/13,Business
20,10,2023/1/23,Business(Confidential)
30,40,2023/2/19,Business(Confidential)
20,30,2023/2/8,Business(Confidential)
20,30,2023/4/21,Business
20,40,2023/1/27,Business
10,40,2023/1/25,Business
40,7,2023/1/26,Business(Confidential)
10,30,2023/1/12,Business
20,30,2023/3/27,Business
40,20,2023/4/4,Business(Confidential)
4,10,2023/2/25,Business
30,43,2023/4/26,Others(Confidential)
40,30,2023/3/18,Business
7,30,2023/3/11,Business
40,26,2023/3/31,Others
40,10,2023/3/18,Others
20,30,2023/1/5,Business
20,10,2023/1/25,Business(Confidential)
40,20,2023/1/14,Others
41,20,2023/1/27,Business
20,40,2023/1/26,Others
10,30,2023/4/29,Business
30,20,2023/4/15,Business
10,26,2023/4/3,Business
30,27,2023/1/17,Business
20,40,2023/4/30,Business(Confidential)
30,40,2023/2/10,Business
40,20,2023/4/1,Business
40,10,2023/3/6,Business(Confidential)
40,3,2023/2/7,Business
10,48,2023/3/23,Business
30,44,2023/2/21,Others
10,40,2023/1/27,Others(Confidential)
30,1,2023/4/17,Business
33,30,2023/1/8,Business
30,10,2023/4/14,Business
30,10,2023/1/22,Business
20,40,2023/3/14,Business
46,20,2023/4/19,Business
10,20,2023/3/8,Others
55,10,2023/4/3,Business
20,27,2023/2/11,Others
40,30,2023/3/17,Business(Confidential)
10,20,2023/3/18,Business
3,40,2023/1/30,Business
40,10,2023/1/10,Business
40,37,2023/2/6,Others
10,47,2023/1/27,Business
10,20,2023/4/11,Business
30,20,2023/4/23,Business
26,28,2023/1/13,Business(Confidential)
30,20,2023/4/14,Others
30,20,2023/2/9,Business
40,10,2023/3/11,Business
40,20,2023/1/22,Business
20,10,2023/1/7,Business
50,20,2023/4/22,Others(Confidential)
30,20,2023/3/29,Business(Confidential)
10,20,2023/2/11,Others
25,20,2023/1/30,Others
10,20,2023/1/6,Others
10,40,2023/4/23,Business(Confidential)
20,40,2023/4/30,Business
40,10,2023/1/21,Business
10,40,2023/4/10,Business(Confidential)
10,30,2023/1/3,Business
30,10,2023/2/18,Business
10,40,2023/4/24,Business
10,40,2023/2/5,Business(Confidential)
31,40,2023/3/9,Business
20,40,2023/2/14,Others
20,30,2023/2/23,Business
20,40,2023/4/26,Business(Confidential)
10,30,2023/3/9,Business
10,30,2023/3/29,Business
30,10,2023/3/31,Business
40,26,2023/2/12,Others
20,10,2023/3/27,Others
40,10,2023/3/29,Others(Confidential)
10,40,2023/4/4,Business(Confidential)
30,40,2023/4/21,Business
27,56,2023/4/1,Business
10,31,2023/1/25,Business
40,20,2023/3/9,Business(Confidential)
20,30,2023/4/21,Business
40,20,2023/3/21,Business(Confidential)
22,12,2023/4/5,Business
18,40,2023/4/23,Business
20,10,2023/4/26,Business
40,30,2023/4/20,Business
30,10,2023/1/26,Others(Confidential)
30,40,2023/3/26,Business
30,6,2023/4/9,Business
20,30,2023/1/5,Others(Confidential)
58,20,2023/2/21,Business(Confidential)
40,10,2023/4/17,Business
40,30,2023/3/9,Business
40,10,2023/1/11,Business
30,40,2023/4/28,Business
29,40,2023/4/7,Business
20,30,2023/4/27,Business
18,10,2023/1/30,Business
20,30,2023/4/1,Business
20,10,2023/4/3,Business
20,24,2023/3/11,Business
30,40,2023/4/10,Others
30,10,2023/4/5,Business
20,30,2023/2/7,Others
20,40,2023/3/9,Business
35,10,2023/3/14,Business
20,10,2023/3/23,Business
10,30,2023/1/7,Others
40,20,2023/1/19,Business
20,10,2023/3/11,Business
30,10,2023/2/20,Others
10,56,2023/4/4,Business
40,30,2023/1/21,Business
30,20,2023/2/17,Others(Confidential)
10,40,2023/3/3,Business
30,10,2023/1/20,Others
49,10,2023/4/6,Others
10,40,2023/4/13,Business
20,30,2023/1/29,Others
10,30,2023/3/25,Business
30,40,2023/2/18,Business(Confidential)
30,40,2023/2/15,Business
10,20,2023/2/12,Business
40,10,2023/1/26,Business(Confidential)
15,30,2023/1/7,Business(Confidential)
7,20,2023/2/8,Others
40,30,2023/4/29,Business
20,30,2023/2/25,Business
10,30,2023/4/3,Business
10,30,2023/4/14,Others(Confidential)
20,40,2023/1/29,Business(Confidential)
30,10,2023/4/30,Business
20,4,2023/3/11,Business
20,10,2023/2/2,Others
20,58,2023/1/28,Business
40,30,2023/2/1,Business(Confidential)
10,22,2023/4/16,Business
10,30,2023/2/10,Business
20,47,2023/1/17,Business
10,40,2023/2/5,Business
20,21,2023/4/28,Business
20,30,2023/3/9,Others
10,30,2023/3/23,Others
30,40,2023/1/30,Business
30,40,2023/1/30,Business(Confidential)
30,21,2023/3/9,Business
20,8,2023/2/24,Business
10,54,2023/4/6,Business(Confidential)
30,10,2023/4/4,Business
20,31,2023/4/28,Business
25,33,2023/1/23,Business
17,4,2023/3/29,Business
24,10,2023/3/28,Business(Confidential)
30,20,2023/4/24,Business(Confidential)
40,20,2023/4/14,Business
41,40,2023/1/12,Business(Confidential)
30,10,2023/2/20,Business(Confidential)
20,30,2023/3/26,Business
30,2,2023/3/12,Business(Confidential)
30,28,2023/2/8,Business
37,20,2023/3/16,Business
10,30,2023/2/14,Business
20,16,2023/1/8,Business
40,20,2023/3/20,Business
25,30,2023/4/6,Others(Confidential)
33,10,2023/1/15,Business
10,40,2023/4/10,Business
30,20,2023/3/11,Business
36,30,2023/3/22,Business
30,40,2023/4/16,Others
30,10,2023/1/22,Business
47,10,2023/3/20,Business
38,30,2023/2/14,Business(Confidential)
30,40,2023/2/8,Business
44,40,2023/1/8,Business
48,30,2023/1/30,Business(Confidential)
17,20,2023/4/4,Business
10,20,2023/3/19,Business
20,10,2023/4/7,Business(Confidential)
14,20,2023/4/24,Business
20,40,2023/1/11,Business
39,20,2023/2/6,Business
20,10,2023/4/14,Others
10,20,2023/3/27,Business(Confidential)
40,30,2023/4/5,Business
40,30,2023/3/24,Business
45,40,2023/1/5,Business
20,10,2023/2/16,Others
20,40,2023/4/19,Others
30,40,2023/3/2,Others
40,14,2023/3/1,Business
20,30,2023/2/1,Business
40,30,2023/2/22,Business
12,10,2023/3/22,Others
40,30,2023/1/4,Business
10,12,2023/2/16,Business(Confidential)
10,20,2023/3/28,Business
34,40,2023/2/18,Others
40,20,2023/3/3,Business
40,20,2023/2/14,Business
45,30,2023/3/26,Business
20,40,2023/1/9,Business(Confidential)
48,40,2023/4/27,Business(Confidential)
39,30,2023/1/29,Others
40,22,2023/3/11,Others
20,40,2023/2/21,Business
40,30,2023/2/2,Others
10,16,2023/3/1,Others(Confidential)
20,30,2023/3/11,Business
40,20,2023/2/8,Business
30,20,2023/1/25,Others
20,40,2023/3/11,Business
10,30,2023/3/26,Business(Confidential)
10,18,2023/1/5,Business(Confidential)
24,40,2023/1/6,Business
30,10,2023/4/10,Business(Confidential)
40,10,2023/4/27,Business
30,20,2023/3/27,Business(Confidential)
40,10,2023/2/19,Business
20,25,2023/3/6,Business
20,40,2023/3/8,Business(Confidential)
7,10,2023/4/6,Business
10,30,2023/1/3,Business
30,10,2023/1/21,Business(Confidential)
60,10,2023/1/26,Business(Confidential)
30,10,2023/2/28,Business(Confidential)
2,10,2023/4/24,Business(Confidential)
10,32,2023/4/7,Business
30,40,2023/4/22,Business
40,30,2023/4/24,Others
20,10,2023/2/25,Business
40,20,2023/2/11,Others
20,10,2023/1/17,Business(Confidential)
10,30,2023/2/2,Others
42,30,2023/1/30,Business(Confidential)
11,40,2023/2/17,Business
22,10,2023/4/12,Business(Confidential)
40,36,2023/1/31,Business(Confidential)
20,40,2023/1/3,Others
20,40,2023/4/16,Business
10,30,2023/3/30,Business(Confidential)
20,30,2023/4/29,Business
49,10,2023/2/18,Business
20,30,2023/1/20,Others(Confidential)
10,40,2023/4/24,Others
26,10,2023/4/6,Business
40,20,2023/3/17,Business
10,39,2023/4/21,Others
10,40,2023/4/28,Others(Confidential)
40,48,2023/2/7,Business
20,40,2023/2/17,Business(Confidential)
20,40,2023/4/17,Business
22,40,2023/4/11,Business
40,30,2023/1/11,Business(Confidential)
20,58,2023/2/10,Business
30,20,2023/4/30,Business
20,10,2023/3/23,Business
30,23,2023/1/28,Business(Confidential)
51,10,2023/4/15,Others
30,40,2023/3/16,Business(Confidential)
20,23,2023/2/10,Business(Confidential)
20,30,2023/4/11,Business
10,20,2023/1/22,Others
20,30,2023/2/13,Business(Confidential)
30,10,2023/4/2,Business
30,20,2023/3/7,Business
51,1,2023/2/28,Business(Confidential)
20,57,2023/1/9,Business
40,26,2023/1/11,Business(Confidential)
10,40,2023/1/22,Business
40,20,2023/4/25,Business
10,40,2023/2/4,Business(Confidential)
7,30,2023/4/15,Business
40,20,2023/1/9,Business
10,40,2023/1/10,Business(Confidential)
30,20,2023/1/17,Business(Confidential)
20,30,2023/1/24,Business
10,30,2023/1/5,Business(Confidential)
10,46,2023/2/3,Business
40,30,2023/2/12,Business
10,12,2023/3/24,Business(Confidential)
30,20,2023/2/28,Business
30,10,2023/2/13,Business
52,40,2023/2/7,Others
40,30,2023/2/20,Business(Confidential)
18,40,2023/1/3,Business
40,27,2023/2/13,Business
54,40,2023/4/15,Business
20,60,2023/4/18,Business(Confidential)
40,20,2023/1/17,Others
40,43,2023/3/27,Others
40,30,2023/1/12,Business
20,10,2023/3/24,Business
30,10,2023/1/30,Business
40,10,2023/2/17,Business
30,40,2023/2/22,Business
30,20,2023/3/15,Business(Confidential)
20,30,2023/1/10,Business
20,10,2023/4/26,Others(Confidential)
41,20,2023/4/30,Business
10,60,2023/1/17,Business
10,40,2023/3/7,Business
20,40,2023/2/6,Business
40,20,2023/2/20,Others
10,40,2023/1/27,Business(Confidential)
40,10,2023/3/31,Business(Confidential)
40,30,2023/4/18,Business
30,10,2023/1/7,Business
57,10,2023/1/1,Business(Confidential)
30,40,2023/4/21,Business
30,10,2023/3/21,Others(Confidential)
10,40,2023/4/9,Business
8,34,2023/4/7,Others
40,10,2023/4/8,Business
20,10,2023/4/14,Business
24,20,2023/1/14,Business
30,20,2023/2/28,Business
20,40,2023/3/24,Business(Confidential)
40,20,2023/1/25,Business
30,20,2023/4/29,Business
40,30,2023/4/20,Others(Confidential)
10,30,2023/3/23,Business(Confidential)
40,33,2023/3/3,Business(Confidential)
10,20,2023/3/23,Business
20,10,2023/4/22,Business
20,32,2023/2/2,Business
30,40,2023/3/24,Business(Confidential)
20,10,2023/3/26,Business(Confidential)
40,10,2023/1/13,Business
10,40,2023/1/11,Business
20,30,2023/4/6,Business
10,40,2023/3/16,Business(Confidential)
10,12,2023/3/1,Business
10,20,2023/3/19,Business
40,24,2023/3/15,Business
40,32,2023/3/11,Business
30,22,2023/2/11,Business
40,30,2023/3/13,Business
30,10,2023/2/18,Business(Confidential)
20,40,2023/2/22,Business
40,20,2023/1/12,Business
20,16,2023/3/25,Others(Confidential)
30,10,2023/1/19,Business
51,10,2023/4/21,Business
37,40,2023/3/8,Business(Confidential)
1,29,2023/3/29,Business(Confidential)
30,20,2023/2/13,Business
30,57,2023/3/6,Business
10,20,2023/2/8,Business
40,3,2023/3/12,Business(Confidential)
56,30,2023/4/17,Others
12,10,2023/2/25,Business
20,10,2023/1/17,Others
20,10,2023/2/25,Business
20,25,2023/4/29,Business
26,54,2023/3/7,Business
13,30,2023/2/10,Others(Confidential)
20,10,2023/4/26,Business
40,20,2023/3/23,Business
40,10,2023/2/20,Business
10,19,2023/3/14,Business
20,8,2023/4/10,Business
40,10,2023/2/17,Business
20,24,2023/2/5,Business
45,30,2023/4/11,Business
40,10,2023/3/6,Others(Confidential)
30,9,2023/3/13,Business
30,10,2023/4/15,Business
30,40,2023/4/2,Business
40,30,2023/2/22,Business
10,40,2023/4/30,Business
30,40,2023/4/11,Others
2,28,2023/1/23,Business(Confidential)
10,40,2023/3/11,Business
18,40,2023/1/28,Business
30,40,2023/3/29,Business
41,10,2023/1/18,Business(Confidential)
40,30,2023/2/26,Others(Confidential)
40,17,2023/2/5,Business(Confidential)
20,10,2023/3/20,Business
20,30,2023/2/11,Business
10,20,2023/1/14,Business
40,30,2023/1/11,Business
30,40,2023/2/22,Business
30,47,2023/2/25,Business
20,51,2023/3/25,Business(Confidential)
40,20,2023/2/19,Business
10,36,2023/1/17,Business
5,20,2023/4/7,Business
40,15,2023/1/25,Business
40,1,2023/3/31,Business
10,9,2023/1/10,Business
40,10,2023/2/10,Business
10,12,2023/3/23,Others
20,30,2023/3/14,Others
40,20,2023/3/17,Business
30,20,2023/2/17,Business
20,10,2023/1/6,Business
50,40,2023/1/17,Business(Confidential)
30,10,2023/4/20,Business(Confidential)
20,30,2023/4/27,Business
30,40,2023/4/11,Others
30,20,2023/4/7,Business
10,20,2023/2/12,Business
20,41,2023/3/27,Business(Confidential)
52,57,2023/3/2,Business(Confidential)
10,23,2023/1/7,Business
20,41,2023/3/1,Business
30,10,2023/4/10,Business
30,10,2023/1/28,Business
38,30,2023/1/9,Business
40,20,2023/3/6,Business
10,20,2023/4/23,Business
10,30,2023/1/15,Others(Confidential)
10,40,2023/1/31,Business
25,20,2023/1/19,Business
29,10,2023/3/31,Business
40,30,2023/4/14,Business
10,30,2023/3/4,Business
10,30,2023/1/7,Business
30,10,2023/2/22,Business
29,10,2023/2/5,Business
10,30,2023/1/5,Business
30,40,2023/2/22,Business
28,20,2023/1/7,Business
10,20,2023/3/26,Business
30,16,2023/3/28,Business
40,19,2023/4/8,Business(Confidential)
30,10,2023/4/30,Business
40,20,2023/2/14,Business
20,40,2023/2/28,Business
10,37,2023/1/14,Others
30,10,2023/2/10,Business
20,40,2023/2/20,Business(Confidential)
20,10,2023/2/25,Business
10,15,2023/1/8,Business
40,30,2023/2/28,Business
30,10,2023/2/25,Business
17,40,2023/1/16,Business(Confidential)
40,10,2023/3/24,Business
30,40,2023/3/22,Business
15,10,2023/1/8,Business
42,50,2023/4/18,Business(Confidential)
10,19,2023/1/2,Others
20,21,2023/1/28,Business
10,20,2023/3/12,Others
30,40,2023/4/6,Business
20,10,2023/2/25,Others
36,18,2023/3/2,Business(Confidential)
10,14,2023/4/14,Business
40,20,2023/1/30,Business
40,30,2023/1/30,Others
10,36,2023/4/4,Business
30,17,2023/3/25,Business
20,38,2023/1/28,Business
32,10,2023/1/14,Others
30,40,2023/1/6,Business
10,40,2023/4/11,Business(Confidential)
30,40,2023/1/16,Business(Confidential)
40,4,2023/2/8,Business
10,40,2023/3/10,Business
10,20,2023/2/11,Business
40,20,2023/4/21,Business
40,30,2023/4/3,Business
10,43,2023/1/13,Business
13,51,2023/1/30,Business(Confidential)
60,10,2023/2/5,Business
41,8,2023/2/4,Business(Confidential)
20,30,2023/1/22,Business
10,19,2023/4/29,Business
58,3,2023/4/22,Business
20,40,2023/2/2,Business(Confidential)
30,20,2023/2/11,Business(Confidential)
10,40,2023/4/14,Business
40,20,2023/2/15,Business(Confidential)
34,10,2023/2/2,Business
10,40,2023/2/15,Business
10,40,2023/3/31,Business
10,20,2023/2/25,Business(Confidential)
30,29,2023/4/6,Business
8,31,2023/2/5,Others
40,10,2023/3/16,Business(Confidential)
10,30,2023/2/24,Business
20,40,2023/3/25,Business
20,47,2023/2/28,Others
20,10,2023/1/1,Others
40,30,2023/1/19,Business(Confidential)
30,10,2023/2/28,Business
30,10,2023/4/23,Business
10,30,2023/4/8,Others(Confidential)
30,40,2023/3/26,Business
20,30,2023/3/17,Business
10,40,2023/2/3,Others
37,40,2023/4/29,Others
40,20,2023/2/7,Business(Confidential)
40,3,2023/4/10,Business
40,10,2023/3/23,Business
40,10,2023/1/9,Business
43,20,2023/1/29,Business
40,38,2023/4/25,Business
30,20,2023/1/12,Business(Confidential)
5,30,2023/2/6,Others
30,20,2023/3/14,Business(Confidential)
20,30,2023/4/15,Business(Confidential)
40,30,2023/4/19,Business
10,40,2023/4/26,Others(Confidential)
40,10,2023/3/13,Business
10,14,2023/2/10,Business
40,20,2023/1/20,Business
40,30,2023/3/8,Business
40,10,2023/2/26,Business
10,20,2023/1/21,Business
20,58,2023/3/2,Business(Confidential)
40,20,2023/2/12,Business(Confidential)
30,10,2023/3/31,Business
20,40,2023/2/19,Business
30,20,2023/1/23,Others(Confidential)
30,10,2023/3/11,Business
36,10,2023/4/17,Business
30,40,2023/1/8,Business
40,30,2023/2/16,Business
10,59,2023/2/7,Others
40,50,2023/1/6,Business
30,20,2023/2/5,Business
60,52,2023/3/3,Business(Confidential)
44,30,2023/2/14,Business
40,20,2023/3/15,Business
40,10,2023/1/24,Business
12,30,2023/4/14,Others(Confidential)
30,20,2023/1/23,Business
10,40,2023/1/5,Business
30,23,2023/3/23,Business
20,53,2023/2/18,Business
40,10,2023/3/10,Business
30,40,2023/4/9,Business
30,10,2023/4/11,Business
40,30,2023/3/30,Business
12,20,2023/1/31,Business
30,30,2023/4/3,Business
40,10,2023/3/19,Business
40,30,2023/1/2,Business(Confidential)
30,40,2023/4/12,Business
30,40,2023/4/15,Business
16,40,2023/1/15,Others
10,50,2023/1/29,Others
20,30,2023/4/3,Others
30,10,2023/1/28,Business
20,10,2023/3/5,Others
20,30,2023/3/12,Business
20,30,2023/2/8,Others(Confidential)
30,10,2023/2/1,Business
30,20,2023/1/9,Business(Confidential)
30,40,2023/4/10,Business
52,30,2023/3/2,Business
40,30,2023/4/18,Others
30,10,2023/1/8,Others(Confidential)
20,10,2023/3/7,Others
28,56,2023/2/26,Business
40,30,2023/4/20,Business
13,10,2023/2/7,Business(Confidential)
29,20,2023/3/7,Others
40,20,2023/1/15,Others(Confidential)
20,16,2023/4/20,Business
49,40,2023/2/18,Business
30,10,2023/1/9,Others(Confidential)
20,40,2023/2/20,Business
17,40,2023/1/22,Business(Confidential)
30,20,2023/3/23,Others(Confidential)
20,10,2023/2/10,Business(Confidential)
27,10,2023/3/11,Business
40,20,2023/3/13,Business
20,30,2023/1/28,Business
30,10,2023/1/4,Business
10,40,2023/4/9,Others(Confidential)
19,13,2023/1/11,Business(Confidential)
30,20,2023/4/3,Others(Confidential)
40,20,2023/2/17,Business
40,10,2023/3/15,Business
40,6,2023/1/10,Business
20,40,2023/3/14,Business
40,10,2023/1/23,Business
10,40,2023/4/23,Others(Confidential)
30,20,2023/1/5,Others
10,20,2023/3/28,Business
20,40,2023/1/18,Business
14,40,2023/3/9,Others
10,30,2023/2/26,Business
30,19,2023/3/17,Business
10,20,2023/1/22,Business
20,47,2023/1/6,Business
10,20,2023/2/21,Business
40,30,2023/1/22,Business
40,30,2023/1/12,Business
30,10,2023/4/8,Business
40,30,2023/4/11,Business
20,52,2023/1/25,Business
30,40,2023/4/8,Business
40,30,2023/2/23,Others
1,10,2023/1/24,Business
20,30,2023/4/23,Business(Confidential)
40,10,2023/3/21,Business
40,21,2023/2/15,Business
30,40,2023/3/3,Business(Confidential)
10,40,2023/3/31,Others
30,40,2023/4/4,Others(Confidential)
10,43,2023/1/28,Business
30,49,2023/1/31,Business
40,49,2023/1/15,Business
20,32,2023/3/11,Others
40,10,2023/1/7,Business
20,35,2023/1/3,Business(Confidential)
10,60,2023/2/11,Business
30,20,2023/4/23,Business
10,47,2023/2/7,Business(Confidential)
20,30,2023/4/8,Business
20,4,2023/2/25,Others
40,10,2023/1/9,Business
20,40,2023/4/10,Business(Confidential)
40,30,2023/2/15,Others(Confidential)
30,46,2023/4/23,Others
29,20,2023/4/29,Business
40,42,2023/1/18,Business
20,40,2023/2/24,Business
40,20,2023/1/17,Business(Confidential)
